X;mjcarre;transpcol;capdpob;contamin;segur
Breña;1.15;29.52;5.1;22.2;5.1
Pueblo Libre;1.09;52.7;4.4;42.1;6.2
Jesus Maria;1.08;23.2;5.6;36.2;4.2
San Miguel;1.3;46.1;7.1;50.23;9.2
San Isidro;1.15;22.1;6.4;39.2;9.4
La Victoria;1.03;16.2;4.2;30.1;5.9
Miraflores;1.1;42.1;6.1;32.1;4.7
San Borja;1.11;20.1;5.2;30.2;4.1
La Molina;1.07;21.2;5.1;10.2;9.1
El Agustino;1.11;70.1;5.06;30.1;2.59
Rimac;1.13;53.1;3.6;29.3;4.5
Callao;1.09;38.19;4.9;19.2;4.7
Santa Anita;1.1;38.52;5.2;24.6;2
Lince;1.2;52.78;7.4;27.2;3.83
Surquillo;1.2;60.66;5.7;29.54;5.2
